header, nMess, nObs, Kbytes, hash, center, table, edition, category 
IUPC01 VHHH, 45, 45, 17, 0x9a626f5c, 110.0 (Hong-Kong), 0.8.0, 2, Vertical soundings (other than satellite) (2.0.0) 
IUSD04 EDZW, 38, 38, 97, 0x91034a20, 78.0 (Offenbach (RSMC)), 0.12.0, 4, Vertical soundings (other than satellite) / Dropwinsonde (2.4.255) 
JUCE00 KKCI, 17, 17, 12, 0xfaaaabf1, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUWE96 KKCI, 17, 17, 61, 0x38891f31, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUWE96 EGRR, 17, 17, 61, 0x38c1373a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUFE00 EGRR, 17, 17, 3, 0x5576f7ba, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUCE00 EGRR, 17, 17, 20, 0xfae2c3fa, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUTE97 KKCI, 17, 17, 14, 0xe34e7ae1, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUTE97 EGRR, 17, 17, 14, 0xe38692ea, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUFE00 KKCI, 17, 17, 3, 0x75e2c121, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUVE00 KKCI, 9, 9, 3, 0xde42d641, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUBE99 KKCI, 9, 9, 23, 0x8a0e21e1, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUBE99 EGRR, 9, 9, 31, 0x8a4639ea, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUVE00 EGRR, 9, 9, 3, 0x24b6e90a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
IUTD14 EKMI, 9, 9, 113, 0x5f62eaa1, 94.0 (Copenhagen), 0.12.1, 3, Vertical soundings (satellite) (3.255.0) 
ISXA40 KWNO, 8, 8, 2, 0xf4bcbbfe, 7.3 (NCEP /  Central Operations), 0.12.0, 3, Synoptic features (7.0.0) 
IUKD12 EDZW, 7, 7, 158, 0xdc4e95e4, 255.0 (Unknown center=255), 0.9.0, 3, Vertical soundings (other than satellite) (2.0.0) 
IUSN01 LFPW, 4, 4, 4, 0x91092688, 85.0 (Toulouse (RSMC)), 0.12.0, 3, Vertical soundings (other than satellite) / Dropwinsonde (2.4.0) 
JUNE00 EGRR, 3, 3, 13, 0x9c44804a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
IUAD02 VHHH, 3, 3, 0, 0x45fa60dc, 110.0 (Hong-Kong), 0.11.1, 3, Single level upper-air data (other than satellite) / Environmental Modeling Center (4.4.0) 
JUNE00 KKCI, 2, 2, 4, 0x7f447841, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUNE00 KKCI, 2, 2, 7, 0x1c349f11, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUNE00 KKCI, 1, 1, 4, 0x9c0c6841, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUNE00 EGRR, 1, 1, 6, 0x91b9431a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUNE00 EGRR, 1, 1, 5, 0xd8f5bf1a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUNE00 EGRR, 1, 1, 6, 0xd2aac51a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUNE00 EGRR, 1, 1, 7, 0x3d8264a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
JUNE00 KKCI, 1, 1, 3, 0x6df82e41, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUNE00 KKCI, 1, 1, 2, 0xd6a3641, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUNE00 KKCI, 1, 1, 2, 0xee21311, 7.0 (US National Weather Service (NCEP)), 0.11.0, 3, Synoptic features (7.255.0) 
JUNE00 EGRR, 1, 1, 4, 0xcb1844a, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.11.1, 3, Synoptic features (7.0.0) 
