"No","Edition","FXY","OperatorName_E","OperationDefinition_E","Note_E","Status"
33,4.00,"223255","Substituted values marker operator","This operator shall signify a data item containing a substituted value; the element descriptor for the substituted value is obtained by the application of the data present bit-map associated with the substituted values operator.",,"Operational"
34,4.00,"224000","First order statistical values follow","The statistical values which follow relate to the data defined by the data present bit-map.",,"Operational"
35,4.00,"224255","First order statistical values marker operator","This operator shall signify a data item containing a first order statistical value of the type indicated by the preceding 0 08 023 element descriptor; the element descriptor to which the first order statistic relates is obtained by the application of the data present bit-map associated with the first order statistical values follow operator; first order statistical values shall be represented as defined by this element descriptor.",,"Operational"
36,4.00,"225000","Difference statistical values follow","The statistical values which follow relate to the data defined by the data present bit-map.",,"Operational"
37,4.00,"225255","Difference statistical values marker operator","This operator shall signify a data item containing a difference statistical value of the type indicated by the preceding 0 08 024 element descriptor; the element descriptor to which the difference statistical value relates is obtained by the application of the data present bit-map associated with the difference statistical values follow operator; difference statistical values shall be represented as defined by this element descriptor, but with a reference value of -2n and a data width of (n+1), where n is the data width given by the original descriptor. This special reference value allows the statistical difference values to be centred around zero.",,"Operational"
38,4.00,"232000","Replaced/retained values follow","The replaced/retained values which follow relate to the data defined by the data present bit-map.",,"Operational"
39,4.00,"232255","Replaced/retained value marker operator","This operator shall signify a data item containing the original of an element which has been replaced by a substituted value.  The element descriptor for the retained value is obtained by the application of the data present bit-map associated with the substituted values operator.",,"Operational"
40,4.00,"235000","Cancel backward data reference","This operator terminates all previously defined back-ward reference and cancels any previously defined data present bit-map; it causes the next data present bit-map to refer to the data descriptors which immediately precede the operator to which it relates.",,"Operational"
41,4.00,"236000","Define data present bit-map","This operator defines the data present bit-map which follows for possible re-use; only one data present bitmap may be defined between this operator and the cancel use defined data present bit-map operator.",,"Operational"
42,4.00,"237000","Use defined data present bit-map","This operator causes the defined data present bit-map to be used again.",,"Operational"
43,4.00,"237255","Cancel use defined data present bit-map","This operator cancels the re-use of the defined data present bit-map.",,"Operational"
44,4.00,"241000","Define event","This operator denotes the beginning of the definition 
of an event.","(see Note 19)#BUFR_16_0_0_TableC.doc#B_TableC_ed4n","Operational"
45,4.00,"241255","Cancel define event","This operator denotes the conclusion of the event definition that was begun via the previous 2 41 000 operator.",,"Operational"
46,4.00,"242000","Define conditioning event","This operator denotes the beginning of the definition of a conditioning event.","(see Note 19)#BUFR_16_0_0_TableC.doc#B_TableC_ed4n","Operational"
47,4.00,"242255","Cancel define conditioning 
event","This operator denotes the conclusion of the conditioning event definition that was begun via the previous 2 42 000 operator.",,"Operational"
48,4.00,"243000","Categorical forecast values follow","The values which follow are categorical forecast values.","(see Note 20)#BUFR_16_0_0_TableC.doc#B_TableC_ed4n","Operational"
49,4.00,"243255","Cancel categorical forecast values follow","This operator denotes the conclusion of the definition of categorical forecast values that was begun via the previous 2 43 000 operator.",,"Operational"
