"No","Title_E","OctetNo","Contents_E","Note_E","Status"
1.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
2.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","16","Scale factor of radius of spherical Earth",,"Operational"
3.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","17-20","Scaled value of radius of spherical Earth",,"Operational"
4.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
5.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
6.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
7.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
8.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","31-34","Ni - number of points along a parallel",,"Operational"
9.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","35-38","Nj - number of points along a meridian",,"Operational"
10.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","39-42","Basic angle of the initial production domain","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
11.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
12.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","47-50","La1 - latitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
13.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","51-54","Lo1 - longitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
14.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","55","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
15.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","56-59","La2 - latitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
16.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","60-63","Lo2 - longitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
17.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","64-67","Di - i direction increment","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
18.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","68-71","Dj - j direction increment","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
19.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","72","Scanning mode","(flags - see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
20.00,"Grid definition template 3.0 - latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Notes 2 and 3)#GRIB2_6_0_1_temp.doc#G2_Gdt30n","Operational"
21.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt31n","Operational"
22.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the southern pole of projection",,"Operational"
23.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the southern pole of projection",,"Operational"
24.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Angle of rotation of projection",,"Operational"
25.00,"Grid definition template 3.1 - rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)#GRIB2_6_0_1_temp.doc#G2_Gdt31n","Operational"
26.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt32n","Operational"
27.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the pole of stretching",,"Operational"
28.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the pole of stretching",,"Operational"
29.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Stretching factor",,"Operational"
30.00,"Grid definition template 3.2 - stretched latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 3)#GRIB2_6_0_1_temp.doc#G2_Gdt32n","Operational"
31.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","15-72","Same as grid definition template 3.0","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt33n","Operational"
32.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","73-76","Latitude of the southern pole of projection",,"Operational"
33.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","77-80","Longitude of the southern pole of projection",,"Operational"
34.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","81-84","Angle of rotation of projection",,"Operational"
35.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","85-88","Latitude of the pole of stretching",,"Operational"
36.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","89-92","Longitude of the pole of stretching",,"Operational"
37.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","93-96","Stretching factor",,"Operational"
38.00,"Grid definition template 3.3 - stretched and rotated latitude/longitude (or equidistant cylindrical, or Plate Carrée)","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_6_0_1_temp.doc#G2_Gdt33n","Operational"
39.00,"Grid definition template 3.10 - Mercator","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
40.00,"Grid definition template 3.10 - Mercator","16","Scale factor of radius of spherical Earth",,"Operational"
41.00,"Grid definition template 3.10 - Mercator","17-20","Scaled value of radius of spherical Earth",,"Operational"
42.00,"Grid definition template 3.10 - Mercator","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
43.00,"Grid definition template 3.10 - Mercator","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
44.00,"Grid definition template 3.10 - Mercator","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
45.00,"Grid definition template 3.10 - Mercator","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
46.00,"Grid definition template 3.10 - Mercator","31-34","Ni - number of points along a parallel",,"Operational"
47.00,"Grid definition template 3.10 - Mercator","35-38","Nj - number of points along a meridian",,"Operational"
48.00,"Grid definition template 3.10 - Mercator","39-42","La1 - latitude of first grid point",,"Operational"
49.00,"Grid definition template 3.10 - Mercator","43-46","Lo1 - longitude of first grid point",,"Operational"
50.00,"Grid definition template 3.10 - Mercator","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
51.00,"Grid definition template 3.10 - Mercator","48-51","LaD - latitude(s) at which the Mercator projection intersects the Earth (Latitude(s) where Di and Dj are specified)",,"Operational"
52.00,"Grid definition template 3.10 - Mercator","52-55","La2 - latitude of last grid point",,"Operational"
53.00,"Grid definition template 3.10 - Mercator","56-59","Lo2 - longitude of last grid point",,"Operational"
54.00,"Grid definition template 3.10 - Mercator","60","Scanning mode","(flags - see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
55.00,"Grid definition template 3.10 - Mercator","61-64","Orientation of the grid, angle between i direction on the map and the Equator","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt310n","Operational"
56.00,"Grid definition template 3.10 - Mercator","65-68","Di - longitudinal direction grid length","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Gdt310n","Operational"
57.00,"Grid definition template 3.10 - Mercator","69-72","Dj - latitudinal direction grid length","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Gdt310n","Operational"
58.00,"Grid definition template 3.10 - Mercator","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Notes 2 and 3 of GDT 3.1)#GRIB2_6_0_1_temp.doc#G2_Gdt310n","Operational"
59.00,"Grid definition template 3.20 - polar stereographic projection","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
60.00,"Grid definition template 3.20 - polar stereographic projection","16","Scale factor of radius of spherical Earth",,"Operational"
61.00,"Grid definition template 3.20 - polar stereographic projection","17-20","Scaled value of radius of spherical Earth",,"Operational"
62.00,"Grid definition template 3.20 - polar stereographic projection","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
63.00,"Grid definition template 3.20 - polar stereographic projection","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
64.00,"Grid definition template 3.20 - polar stereographic projection","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
65.00,"Grid definition template 3.20 - polar stereographic projection","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
66.00,"Grid definition template 3.20 - polar stereographic projection","31-34","Nx - number of points along the x-axis",,"Operational"
67.00,"Grid definition template 3.20 - polar stereographic projection","35-38","Ny - number of points along the y-axis",,"Operational"
68.00,"Grid definition template 3.20 - polar stereographic projection","39-42","La1 - latitude of first grid point",,"Operational"
69.00,"Grid definition template 3.20 - polar stereographic projection","43-46","Lo1 - longitude of first grid point",,"Operational"
70.00,"Grid definition template 3.20 - polar stereographic projection","47","Resolution and component flags","(see Flag table 3.3 and Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt320n","Operational"
71.00,"Grid definition template 3.20 - polar stereographic projection","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
72.00,"Grid definition template 3.20 - polar stereographic projection","52-55","LoV - orientation of the grid","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Gdt320n","Operational"
73.00,"Grid definition template 3.20 - polar stereographic projection","56-59","Dx - x-direction grid length","(see Note 3)#GRIB2_6_0_1_temp.doc#G2_Gdt320n","Operational"
74.00,"Grid definition template 3.20 - polar stereographic projection","60-63","Dy - y-direction grid length","(see Note 3)#GRIB2_6_0_1_temp.doc#G2_Gdt320n","Operational"
75.00,"Grid definition template 3.20 - polar stereographic projection","64","Projection centre flag","(see Flag table 3.5)#GRIB2_6_0_1_codeflag.doc#G2_CF35","Operational"
76.00,"Grid definition template 3.20 - polar stereographic projection","65","Scanning mode","(see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
77.00,"Grid definition template 3.30 - Lambert conformal","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
78.00,"Grid definition template 3.30 - Lambert conformal","16","Scale factor of radius of spherical Earth",,"Operational"
79.00,"Grid definition template 3.30 - Lambert conformal","17-20","Scaled value of radius of spherical Earth",,"Operational"
80.00,"Grid definition template 3.30 - Lambert conformal","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
81.00,"Grid definition template 3.30 - Lambert conformal","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
82.00,"Grid definition template 3.30 - Lambert conformal","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
83.00,"Grid definition template 3.30 - Lambert conformal","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
84.00,"Grid definition template 3.30 - Lambert conformal","31-34","Nx - number of points along the x-axis",,"Operational"
85.00,"Grid definition template 3.30 - Lambert conformal","35-38","Ny - number of points along the y-axis",,"Operational"
86.00,"Grid definition template 3.30 - Lambert conformal","39-42","La1 - latitude of first grid point",,"Operational"
87.00,"Grid definition template 3.30 - Lambert conformal","43-46","Lo1 - longitude of first grid point",,"Operational"
88.00,"Grid definition template 3.30 - Lambert conformal","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
89.00,"Grid definition template 3.30 - Lambert conformal","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
90.00,"Grid definition template 3.30 - Lambert conformal","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
91.00,"Grid definition template 3.30 - Lambert conformal","56-59","Dx - x-direction grid length","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt330n","Operational"
92.00,"Grid definition template 3.30 - Lambert conformal","60-63","Dy - y-direction grid length","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt330n","Operational"
93.00,"Grid definition template 3.30 - Lambert conformal","64","Projection centre flag","(see Flag table 3.5)#GRIB2_6_0_1_codeflag.doc#G2_CF35","Operational"
94.00,"Grid definition template 3.30 - Lambert conformal","65","Scanning mode","(see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
95.00,"Grid definition template 3.30 - Lambert conformal","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
96.00,"Grid definition template 3.30 - Lambert conformal","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
97.00,"Grid definition template 3.30 - Lambert conformal","74-77","Latitude of the southern pole of projection",,"Operational"
98.00,"Grid definition template 3.30 - Lambert conformal","78-81","Longitude of the southern pole of projection",,"Operational"
99.00,"Grid definition template 3.31 - Albers equal area","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
100.00,"Grid definition template 3.31 - Albers equal area","16","Scale factor of radius of spherical Earth",,"Operational"
101.00,"Grid definition template 3.31 - Albers equal area","17-20","Scaled value of radius of spherical Earth",,"Operational"
102.00,"Grid definition template 3.31 - Albers equal area","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
103.00,"Grid definition template 3.31 - Albers equal area","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
104.00,"Grid definition template 3.31 - Albers equal area","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
105.00,"Grid definition template 3.31 - Albers equal area","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
106.00,"Grid definition template 3.31 - Albers equal area","31-34","Nx - number of points along the x-axis",,"Operational"
107.00,"Grid definition template 3.31 - Albers equal area","35-38","Ny - number of points along the y-axis",,"Operational"
108.00,"Grid definition template 3.31 - Albers equal area","39-42","La1 - latitude of first grid point",,"Operational"
109.00,"Grid definition template 3.31 - Albers equal area","43-46","Lo1 - longitude of first grid point",,"Operational"
110.00,"Grid definition template 3.31 - Albers equal area","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
111.00,"Grid definition template 3.31 - Albers equal area","48-51","LaD - latitude where Dx and Dy are specified",,"Operational"
112.00,"Grid definition template 3.31 - Albers equal area","52-55","LoV - longitude of meridian parallel to y-axis along which latitude increases as the y-coordinate increases",,"Operational"
113.00,"Grid definition template 3.31 - Albers equal area","56-59","Dx - x-direction grid length","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt331n","Operational"
114.00,"Grid definition template 3.31 - Albers equal area","60-63","Dy - y-direction grid length","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt331n","Operational"
115.00,"Grid definition template 3.31 - Albers equal area","64","Projection centre flag","(see Flag table 3.5)#GRIB2_6_0_1_codeflag.doc#G2_CF35","Operational"
116.00,"Grid definition template 3.31 - Albers equal area","65","Scanning mode","(see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
117.00,"Grid definition template 3.31 - Albers equal area","66-69","Latin 1 - first latitude from the pole at which the secant cone cuts the sphere",,"Operational"
118.00,"Grid definition template 3.31 - Albers equal area","70-73","Latin 2 - second latitude from the pole at which the secant cone cuts the sphere",,"Operational"
119.00,"Grid definition template 3.31 - Albers equal area","74-77","Latitude of the southern pole of projection",,"Operational"
120.00,"Grid definition template 3.31 - Albers equal area","78-81","Longitude of the southern pole of projection",,"Operational"
121.00,"Grid definition template 3.40 - Gaussian latitude/longitude","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
122.00,"Grid definition template 3.40 - Gaussian latitude/longitude","16","Scale factor of radius of spherical Earth",,"Operational"
123.00,"Grid definition template 3.40 - Gaussian latitude/longitude","17-20","Scaled value of radius of spherical Earth",,"Operational"
124.00,"Grid definition template 3.40 - Gaussian latitude/longitude","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
125.00,"Grid definition template 3.40 - Gaussian latitude/longitude","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
126.00,"Grid definition template 3.40 - Gaussian latitude/longitude","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
127.00,"Grid definition template 3.40 - Gaussian latitude/longitude","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
128.00,"Grid definition template 3.40 - Gaussian latitude/longitude","31-34","Ni - number of points along a parallel",,"Operational"
129.00,"Grid definition template 3.40 - Gaussian latitude/longitude","35-38","Nj - number of points along a meridian",,"Operational"
130.00,"Grid definition template 3.40 - Gaussian latitude/longitude","39-42","Basic angle of the initial production domain","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
131.00,"Grid definition template 3.40 - Gaussian latitude/longitude","43-46","Subdivisions of basic angle used to define extreme longitudes and latitudes, and direction increments","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
132.00,"Grid definition template 3.40 - Gaussian latitude/longitude","47-50","La1 - latitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
133.00,"Grid definition template 3.40 - Gaussian latitude/longitude","51-54","Lo1 - longitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
134.00,"Grid definition template 3.40 - Gaussian latitude/longitude","55","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
135.00,"Grid definition template 3.40 - Gaussian latitude/longitude","56-59","La2 - latitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
136.00,"Grid definition template 3.40 - Gaussian latitude/longitude","60-63","Lo2 - longitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
137.00,"Grid definition template 3.40 - Gaussian latitude/longitude","64-67","Di - i direction increment","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
138.00,"Grid definition template 3.40 - Gaussian latitude/longitude","68-71","N - number of parallels between a pole and the Equator","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
139.00,"Grid definition template 3.40 - Gaussian latitude/longitude","72","Scanning mode","(flags - see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
140.00,"Grid definition template 3.40 - Gaussian latitude/longitude","73-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_6_0_1_temp.doc#G2_Gdt340n","Operational"
141.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt341n","Operational"
142.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
143.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
144.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
145.00,"Grid definition template 3.41 - rotated Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_6_0_1_temp.doc#G2_Gdt341n","Operational"
146.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt342n","Operational"
147.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","73-76","Latitude of the pole of stretching",,"Operational"
148.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","77-80","Longitude of the pole of stretching",,"Operational"
149.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","81-84","Stretching factor",,"Operational"
150.00,"Grid definition template 3.42 - stretched Gaussian latitude/longitude","85-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 4)#GRIB2_6_0_1_temp.doc#G2_Gdt342n","Operational"
151.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","15-72","Same as grid definition template 3.40","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt343n","Operational"
152.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","73-76","Latitude of the southern pole of projection",,"Operational"
153.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","77-80","Longitude of the southern pole of projection",,"Operational"
154.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","81-84","Angle of rotation of projection",,"Operational"
155.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","85-88","Latitude of the pole of stretching",,"Operational"
156.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","89-92","Longitude of the pole of stretching",,"Operational"
157.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","93-96","Stretching factor",,"Operational"
158.00,"Grid definition template 3.43 - stretched and rotated Gaussian latitude/longitude","97-nn","List of number of points along each meridian or parallel.","(These octets are only present for quasi-regular grids as described in Note 5)#GRIB2_6_0_1_temp.doc#G2_Gdt343n","Operational"
159.00,"Grid definition template 3.50 - spherical harmonic coefficients","15-18","J - pentagonal resolution parameter",,"Operational"
160.00,"Grid definition template 3.50 - spherical harmonic coefficients","19-22","K - pentagonal resolution parameter",,"Operational"
161.00,"Grid definition template 3.50 - spherical harmonic coefficients","23-26","M - pentagonal resolution parameter",,"Operational"
162.00,"Grid definition template 3.50 - spherical harmonic coefficients","27","Representation type indicating the method used to define the norm","(see Code table 3.6)#GRIB2_6_0_1_codeflag.doc#G2_CF36","Operational"
163.00,"Grid definition template 3.50 - spherical harmonic coefficients","28","Representation mode indicating the order of the coefficients","(see Code table 3.7)#GRIB2_6_0_1_codeflag.doc#G2_CF37","Operational"
164.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
165.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
166.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
167.00,"Grid definition template 3.51 - rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
168.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
169.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","29-32","Latitude of the pole of stretching",,"Operational"
170.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","33-36","Longitude of the pole of stretching",,"Operational"
171.00,"Grid definition template 3.52 - stretched spherical harmonic coefficients","37-40","Stretching factor",,"Operational"
172.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","15-28","Same as grid definition template 3.50",,"Operational"
173.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","29-32","Latitude of the southern pole of projection",,"Operational"
174.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","33-36","Longitude of the southern pole of projection",,"Operational"
175.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","37-40","Angle of rotation of projection",,"Operational"
176.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","41-44","Latitude of pole of stretching",,"Operational"
177.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","45-48","Longitude of pole of stretching",,"Operational"
178.00,"Grid definition template 3.53 - stretched and rotated spherical harmonic coefficients","49-52","Stretching factor",,"Operational"
179.00,"Grid definition template 3.90 - space view perspective or orthographic","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
180.00,"Grid definition template 3.90 - space view perspective or orthographic","16","Scale factor of radius of spherical Earth",,"Operational"
181.00,"Grid definition template 3.90 - space view perspective or orthographic","17-20","Scaled value of radius of spherical Earth",,"Operational"
182.00,"Grid definition template 3.90 - space view perspective or orthographic","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
183.00,"Grid definition template 3.90 - space view perspective or orthographic","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
184.00,"Grid definition template 3.90 - space view perspective or orthographic","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
185.00,"Grid definition template 3.90 - space view perspective or orthographic","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
186.00,"Grid definition template 3.90 - space view perspective or orthographic","31-34","Nx - number of points along x-axis (columns)",,"Operational"
187.00,"Grid definition template 3.90 - space view perspective or orthographic","35-38","Ny - number of points along y-axis (rows or lines)",,"Operational"
188.00,"Grid definition template 3.90 - space view perspective or orthographic","39-42","Lap - latitude of sub-satellite point",,"Operational"
189.00,"Grid definition template 3.90 - space view perspective or orthographic","43-46","Lop - longitude of sub-satellite point",,"Operational"
190.00,"Grid definition template 3.90 - space view perspective or orthographic","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
191.00,"Grid definition template 3.90 - space view perspective or orthographic","48-51","dx - apparent diameter of Earth in grid lengths, in x-direction",,"Operational"
192.00,"Grid definition template 3.90 - space view perspective or orthographic","52-55","dy - apparent diameter of Earth in grid lengths, in y-direction",,"Operational"
193.00,"Grid definition template 3.90 - space view perspective or orthographic","56-59","Xp - x-coordinate of sub-satellite point (in units of 10-3 grid length expressed as an integer)",,"Operational"
194.00,"Grid definition template 3.90 - space view perspective or orthographic","60-63","Yp - y-coordinate of sub-satellite point (in units of 10-3 grid length expressed as an integer)",,"Operational"
195.00,"Grid definition template 3.90 - space view perspective or orthographic","64","Scanning mode (flags - see Flag table 3.4)",,"Operational"
196.00,"Grid definition template 3.90 - space view perspective or orthographic","65-68","Orientation of the grid; i.e. the angle between the increasing y-axis and the meridian of the sub-satellite point in the direction of increasing latitude","(see Note 3)#GRIB2_6_0_1_temp.doc#G2_Gdt390n","Operational"
