-1:46:-1:128
1:PRES:Pressure [Pa]
2:PMSL:Pressure reduced to MSL [Pa]
3:PTND:Pressure tendency [Pa s-1]
4:PVOR:Potential vorticity [km2 kg-1 s-1]
5:ICAHT:ICAO Std Atmosphere Ref Height [m]
6:GP:Geopotential [m2 s-2]
7:HGHT:Geopotential height [gpm]
8:DIST:Geometrical height [m]
9:HGHTSD:Standard deviation of height [m]
10:TOZO:Total ozone [Dobson]
11:TMPK:Temperature [K]
12:TVRK:Virtual temperature [K]
13:THTA:Potential temperature [K]
14:THTE:Equivalent potential temp [K]
15:TMXK:Maximum temperature [K]
16:TMNK:Minimum temperature [K]
17:DWPK:Dew-point temperature [K]
18:DPDK:Dew-point depression or deficit [K]
19:LAPS:Lapse rate [K m-1]
20:VSBY:Visibility [m]
21:RDSP1:Radar spectra 1 []
22:RDSP2:Radar spectra 2 []
23:RDSP3:Radar spectra 3 []
24:LIFT:Parcel Lifted Index to 500hPa [K]
25:TMPKA:Temperature anomaly [K]
26:PRESA:Pressure anomaly [Pa]
27:HGHTA:Geopotential height anomal [gpm]
28:WVSP1:Wave spectra 1 []
29:WVSP2:Wave spectra 2 []
30:WVSP3:Wave spectra 3 []
31:DRCT:Wind direction [Degree true]
32:SPED:Wind speed [m s-1]
33:UREL:u-component of wind [m s-1]
34:VREL:v-component of wind [m s-1]
35:STRM:Stream function [m2 s-1]
36:VPOT:Velocity potential [m2 s-1]
37:PSYM:Montgomery streamfunction [m2 s-2]
38:SGCVV:Sigma co-ordinate vert vel [s-1]
39:OMEG:Pressure vertical velocity [Pa s-1]
40:VVEL:Geometric vertical velocity [m s-1]
41:AVOR:Absolute vorticity [s-1]
42:DIV:Absolute divergence [s-1]
43:VOR:Relative vorticity [s-1]
44:RDIV:Relative divergence [s-1]
45:USHR:Vertical u-component shear [s-1]
46:VSHR:Vertical v-component shear [s-1]
47:DRCTC:Direction of current [Degree true]
48:SPEDC:Speed of current [m s-1]
49:URELC:u-component of current [m s-1]
50:VRELC:v-component of current [m s-1]
51:SPFH:Specific humidity [kg kg-1]
52:RELH:Relative humidity [%]
53:MIXR:Humidity mixing ratio [kg kg-1]
54:PWTR:Precipitable water [kg m-2]
55:VAPR:Vapour pressure [Pa]
56:SATD:Saturation deficit [Pa]
57:EVAP:Evaporation [kg m-2]
58:CICE:Cloud ice [kg m-2]
59:PR--:Precipitation rate [kg m-2 s-1]
60:TSTM:Thunderstorm probability [%]
61:PREC:Total precipitation [kg m-2]
62:S--M:Large scale precipitation [kg m-2]
63:C--M:Convective precipitation [kg m-2]
64:SR--:Snowfall rate water equivalent [kg m-2 s-1]
65:SWEM:Water equiv of accum snow depth [kg m-2]
66:SNDM:Snow depth [m]
67:MIXL:Mixed layer depth [m]
68:TTHDP:Transient thermocline depth [m]
69:MTHDP:Main thermocline depth [m]
70:MTHAN:Main thermocline anomaly [m]
71:CLD:Total cloud cover [%]
72:CCLD:Convective cloud cover [%]
73:CLDL:Low cloud cover [%]
74:CLDM:Medium cloud cover [%]
75:CLDH:High cloud cover [%]
76:CWTR:Cloud water [kg m-2]
77:LFT4:Best Lifted Index to 500hPa [K]
78:CSNO:Convective snow [kg m-2]
79:LSNO:Large scale snow [kg m-2]
80:WTMPK:Water temperature [K]
81:LAND:Land-sea mask 1=land,0=sea [1,0]
82:CLVLD:Deviation of sea-level from mean [m]
83:SRLM:Surface roughness [m]
84:ALBD:Albedo [%]
85:SLTK:Soil temperature [K]
86:SLMM:Soil moisture content [kg m-2]
87:VEG:Vegetation [%]
88:SLTY:Salinity [kg kg-1]
89:DNTY:Density [kg m-3]
90:RNOF:Water runoff [kg m-2]
91:ICE:Ice concent 1=ice,0=no ice [1,0]
92:ICET:Ice thickness [m]
93:DRCTI:Direction of ice drift [Degree true]
94:SPEDI:Speed of ice drift [m s-1]
95:URELI:u-component of ice drift [m s-1]
96:VRELI:v-component of ice drift [m s-1]
97:IGRO:Ice growth [m]
98:IDIV:Ice divergence [s-1]
99:N--M:Snow melt [kg m-2]
100:HTSGW:Sig hght of comb wind waves/swell [m]
101:DRCTWW:Direction of wind waves [Degree true]
102:HGHTWW:Significant hght of wind waves [m]
103:PERDWW:Mean period of wind waves [s]
104:DRCTSW:Direction of swell waves [Degree true]
105:HGHTSW:Significant hght of swell waves [m]
106:PERDSW:Mean period of swell waves [s]
107:DRCTPW:Primary wave direction [Degree true]
108:PERDPW:Primary wave mean period [s]
109:DRCTSW:Secondary wave direction [Degree true]
110:PERDSW:Secondary wave mean period [s]
111:SNIR:Net short-wave radiation sfc [W m-2]
112:SNOR:Net long-wave radiation sfc [W m-2]
113:SWRT:Net short-wave rad top of atm [W m-2]
114:LWRT:Net long-wave rad top of atm [W m-2]
115:LWRAD:Long-wave radiation [W m-2]
116:SWRAD:Short-wave radiation [W m-2]
117:GLRAD:Global radiation [W m-2]
118:BRTMP:Brightness temperature [K]
119:RADWN:Radiance wrt wave number [W m-1/sr]
120:RADWL:Radiance wrt wave length [W m-3/sr]
121:FXLH:Latent heat flux [W m-2]
122:FXSH:Sensible heat flux [W m-2]
123:BLDIS:Boundary layer dissipation [W m-2]
124:URELFX:u-component of momentum flux [N m-2]
125:VRELFX:v-component of momentum flux [N m-2]
126:ENRG:Wind mixing energy [J]
127:IMAG:Image data []
128:TP2M:Two metre temperature [K]
129:DP2M:Two metre dewpoint temperature [K]
130:U10M:Ten metre u-wind component [m s-1]
131:V10M:Ten metre v-wind component [m s-1]
132:TOPO:Topography [m]
133:GSFP:Geometric mean surface pressure [hPa]
