-1:59:0:0
1:P:Pressure [Pa]
2:PMSL:Pressure reduced to mean sea level [Pa]
3:PT:Pressure tendency [Pa/s]
4:PVORT:Potential vorticity [Km**2/kg/s]
5:ICAHT:ICAO Standard Atmosphere Reference Height [m]
6:GP:Geopotential [m**2/s**2]
7:GH:Geopotential Height [gpm]
8:GEH:Geometric Height [m]
9:HGHTSD:Standard deviation of height [m]
10:TOZO:Total ozone [Dobson]
11:T:Temperature [K]
12:VT:Virtual temperature [K]
13:POT:Potential temperature [K]
14:EPOT:Equivalent potential temperature [K]
15:MXT:Maximum temperature [K]
16:MNT:Minimum temperature [K]
17:DPT:Dew point temperature [K]
18:DPD:Dew point depression [K]
19:LR:Lapse rate [K/m]
20:VIS:Visibility [m]
21:RSP1:Radar Spectra  1  [undef]
22:RSP2:Radar Spectra  2  [undef]
23:RSP3:Radar Spectra  3  [undef]
24:PLI:Parcel lifted index  to 500 hPa  [K]
25:TA:Temperature anomaly [K]
26:PA:Pressure anomaly [Pa]
27:GHA:Geopotential height anomaly [gpm]
28:WSP1:Wave Spectra  1  [undef]
29:WSP2:Wave Spectra  2  [undef]
30:WSP3:Wave Spectra  3  [undef]
31:WD:Wind direction  from which blowing  [degrees]
32:WS:Wind speed [m/s]
33:UW:u-component of wind [m/s]
34:VW:v-component of wind [m/s]
35:SF:Stream function [m**2/s]
36:VPOT:Velocity potential [m**2/s]
37:MSG:Montgomery stream function [m**2/s**2]
38:SVV:Sigma coordinate vertical velocity [1/s]
39:PVV:Pressure vertical velocity [Pa/s]
40:GVV:Geometric vertical velocity [m/s]
41:AV:Absolute vorticity [1/s]
42:AD:Absolute divergence [1/s]
43:RV:Relative vorticity [1/s]
44:RD:Relative divergence [1/s]
45:VUCSH:Vertical u-component shear [1/s]
46:VVCSH:Vertical v-component shear [1/s]
47:DIRC:Direction of current [degrees]
48:SPC:Speed of current [m/s]
49:UOGRD:u-component of current [m/s]
50:VOGRD:v-component of current [m/s]
51:SH:Specific humidity [kg/kg]
52:RH:Relative humidity [%]
53:MIXR:Humidity mixing ratio [kg/kg]
54:PW:Precipitable water [kg/m**2]
55:VAPP:Vapor pressure [Pa]
56:SATD:Saturation deficit [Pa]
57:EVP:Evaporation [kg/m**2]
58:CICE:Cloud Ice [kg/m**2]
59:PR:Precipitation rate [kg/m**2/s]
60:THP:Thunderstorm probability [%]
61:TP:Total precipitation [kg/m**2]
62:LGSP:Large scale precipitation [kg/m**2]
63:CP:Convective precipitation [kg/m**2]
64:SRWEQ:Snowfall rate water equivalent [kg/m**2/s]
65:WEASD:Water equivalent of accumulated snow depth [kg/m**2]
66:SND:Snow depth [m]
67:MIXHT:Mixed layer depth [m]
68:TTHDP:Transient thermocline depth [m]
69:MTHD:Main thermocline depth [m]
70:MTHA:Main thermocline anomaly [m]
71:TCC:Total cloud cover [%]
72:CCC:Convective cloud cover [%]
73:LCC:Low cloud cover [%]
74:MCC:Medium cloud cover [%]
75:HCC:High cloud cover [%]
76:CWAT:Cloud water [kg/m**2]
77:BLI:Best Lifted Index  to 500 hPa  [K]
78:SNOC:Convective snow [kg/m**2]
79:SNOL:Large scale snow [kg/m**2]
80:WT:Water temperature [K]
81:LAND:Land cover  land=1, sea=0  [proportion]
82:DSLM:Deviation of sea level from mean [m]
83:SFCR:Surface roughness [m]
84:ALBDO:Albedo [%]
85:ST:Soil temperature [K]
86:SMC:Soil moisture content [kg/m**2]
87:VEG:Vegetation [%]
88:SALTY:Salinity [kg/kg]
89:DEN:Density [kg/m**3]
90:WATR:Water runoff [kg/m**2]
91:ICEC:Ice cover  ice=1, no ice=0  [proportion]
92:ICETK:Ice thickness [m]
93:DICED:Direction of ice drift [degrees]
94:SICED:Speed of ice drift [m/s]
95:UICE:u-component of ice drift [m/s]
96:VICE:v-component of ice drift [m/s]
97:ICEG:Ice growth rate [m/s]
98:ICED:Ice divergence [1/s]
99:SNOM:Snow melt [kg/m**2]
100:HTSGW:Significant height of combined wind waves & swell [m]
101:WVDIR:Direction of wind waves  from which  [degrees]
102:WVHGT:Significant height of wind waves [m]
103:WVPER:Mean period of wind waves [s]
104:SWDIR:Direction of swell waves [degrees]
105:SWELL:Significant height of swell waves [m]
106:SWPER:Mean period of swell waves [s]
107:DIRPW:Primary wave direction [degrees]
108:PERPW:Primary wave mean period [s]
109:DIRSW:Secondary wave direction [degrees]
110:PERSW:Secondary wave mean period [s]
111:NSWRS:Net short-wave radiation  surface  [W/m**2]
112:NLRS:Net long-wave radiation  surface  [W/m**2]
113:NSWRT:Net short-wave radiation  top of atmosphere  [W/m**2]
114:NLWRT:Net long-wave radiation  top of atmosphere  [W/m**2]
115:LWAVR:Long wave radiation flux [W/m**2]
116:SWAVR:Short wave radiation flux [W/m**2]
117:GRAD:Global radiation flux [W/m**2]
118:BRTMP:Brightness temperature [K]
119:LWRAD:Radiance  with respect to wave number  [W/m/sr]
120:SWRAD:Radiance  with respect to wave length  [W/m**3/sr]
121:LHTFL:Latent heat net flux [W/m**2]
122:SHTFL:Sensible heat net flux [W/m**2]
123:BLYDP:Boundary layer dissipation [W/m**2]
124:UFLX:Momentum flux, u component [N/m**2]
125:VFLX:Momentum flux, v component [N/m**2]
126:WMIXE:Wind mixing energy [J]
127:IMGD:Image data [undef]
128:MSLP:Mean sea level pressure [Pa]
129:MMSP:MAPS mean sea level pressure [Pa]
130:EMSP:ETA mean sea level pressure [Pa]
131:SLI:Surface lifted index [K]
132:BLI:Best  4 layer  lifted index [K]
133:KI:K index [K]
134:SI:Sweat index [K]
135:MCONV:Horizontal moisture divergence [kg/kg/s]
136:VSS:Vertical speed shear [1/s]
137:PT3:Pressure tendency - 3 hour [Pa/s]
138:BVF2:Brunt-Vaisala frequency  squared  [1/s**2]
139:PVMV:Potential vorticity  density weighted  [1/s/m]
140:CRAIN:Categorical rain  yes=1, no=0  [non-dim]
141:CFRZR:Categorical freezing rain  yes=1, no=0  [non-dim]
142:CICEP:Categorical ice pellets  yes=1, no=0  [non-dim]
143:CSNOW:Categorical snow  yes=1, no=0  [non-dim]
144:SOILW:Volumetric soil moisture content [fraction]
145:PEVPR:Potential evaporation rate [W/m**2]
146:CWORK:Cloud workfunction [J/kg]
147:UGWD:Zonal flux of gravity wave stress [N/m**2]
148:VGWD:Meridional flux of gravity wave stress [N/m**2]
149:PV:Potential vorticity [m**2/s/kg]
150:COVMZ:Covariance between meridional and zonal wind [m**2/kg**2]
151:COVTZ:Covariance between temperature and zonal wind [K*m/s]
152:COVTM:Covariance between temperature and merid wind [K*m/s]
153:CW:Cloud water [kg/kg]
154:O3MR:Ozone mixing ratio [kg/kg]
155:GFLUX:Ground Heat flux [W/m**2]
156:CIN:Convective inhibition [J/kg]
157:CAPE:Convective available potential energy [J/kg]
158:TKE:Turbulent kinetic energy [J/kg]
159:CONDP:Condensation pressure of parcel lifted from sfc [Pa]
160:CSUSF:Clear sky upward solar flux [W/m**2]
161:CSDSF:Clear sky downward solar flux [W/m**2]
162:CSULF:Clear sky upward long wave flux [W/m**2]
163:CSDLF:Clear sky downward long wave flux [W/m**2]
164:CFNSF:Cloud forcing net solar flux [W/m**2]
165:CFNLF:Cloud forcing net long wave flux [W/m**2]
166:VBDSF:Visible beam downward solar flux [W/m**2]
167:VDDSF:Visible diffuse downward solar flux [W/m**2]
168:NBDSF:Near IR beam downward solar flux [W/m**2]
169:NDDSF:Near IR diffuse downward solar flux [W/m**2]
170:RWMR:Rain water mixing ratio [kg/kg]
171:SNMR:Snow mixing ratio [kg/kg]
172:MFLX:Momentum flux [N/m**2]
173:LMH:Mass point model surface [non-dim]
174:LMV:Velocity point model surface [non-dim]
175:MLYNO:Model layer number  from bottom up  [non-dim]
176:NLAT:Latitude [degrees]
177:ELON:East longitude [degrees]
178:ICMR:Ice mixing ratio [kg/kg]
179:GRMR:Graupel mixing ratio [kg/kg]
181:LPSX:x-gradient of log pressure [1/m]
182:LPSY:y-gradient of log pressure [1/m]
183:JGTX:x-gradient of height [m/m]
184:JGTY:y-gradient of height [m/m]
185:TURB:Turbulence SIGMET AIRMET [non-dim]
186:ICNG:Icing SIGMET AIRMET [non-dim]
187:LTNG:Lightning [non-dim]
188:WDROP:Rate of Water drop from canopy to ground [kg/m**2/s]
189:VPT:Vitual potentail temperature [K]
190:HELI:Helicity [m**2/s**2]
191:PROB:Probability from ensemble [numeric]
192:PROBN:Probability from ensemble normalized to climate [numeric]
193:POP:Probability of precipitation [%]
194:CPOFP:Probability of frozen precipitation [%]
195:CPOZP:Probability of freezing precipitation [%]
196:USTM:u-component of storm motion [m/s]
197:VSTM:v-component of storm motion [m/s]
198:NCIP:Number conecntration for ice particles [undef]
199:EVBS:Direct evaporation from bare soil [W/m**2]
