-1:98:0:162
51:SZ:Surface geopotential [m^2 s^-2]
52:SP:Surface pressure [Pa]
53:VIMA:Vertical integral of mass of atmosphere [kg m^-2]
54:VIT:Vertical integral of temperature [K kg m^-2]
55:VITCWV:Vertical integral of total column water vapour [kg m^-2]
56:VITCLCW:Vertical integral of total column liquid cloud water [kg m^-2]
57:VITCFCW:Vertical integral of total column frozen cloud water [kg m^-2]
58:VITCO3:Vertical integral of total column ozone [kg m^-2]
59:VIKE:Vertical integral of kinetic energy [J m^-2]
60:VITE:Vertical integral of thermal energy [J m^-2]
61:VIDSE:Vertical integral of dry static energy [J m^-2]
62:VIMSE:Vertical integral of moist static energy [J m^-2]
63:VITOTE:Vertical integral of total energy [J m^-2]
64:VIEC:Vertical integral of energy conversion [W m^-2]
65:VIEMF:Vertical integral of eastward mass flux [kg m^-1 s^-1]
66:VINMF:Vertical integral of northward mass flux [kg m^-1 s^-1]
67:VIEKEF:Vertical integral of eastward kinetic energy flux [W m^-2]
68:VINKEF:Vertical integral of northward kinetic energy flux [W m^-2]
69:VIEHF:Vertical integral of eastward heat flux [W m^-2]
70:VINHF:Vertical integral of northward heat flux [W m^-2]
71:VIEWVF:Vertical integral of eastward water vapour flux [kg m^-1 s^-1]
72:VINWVF:Vertical integral of northward water vapour flux [kg m^-1 s^-1]
73:VIEGF:Vertical integral of eastward geopotential flux [W m^-2]
74:VINGF:Vertical integral of northward geopotential flux [W m^-2]
75:VIETEF:Vertical integral of eastward total energy flux [W m^-2]
76:VINTEF:Vertical integral of northward total energy flux [W m^-2]
77:VIEO3F:Vertical integral of eastward ozone flux [kg m^-1 s^-1]
78:VINO3F:Vertical integral of northward ozone flux [kg m^-1 s^-1]
81:VIDMF:Vertical integral of divergence of mass flux [kg m^-2 s^-1]
82:VIDKEF:Vertical integral of divergence of kinetic energy flux [W m^-2]
83:VIDTEF:Vertical integral of divergence of thermal energy flux [W m^-2]
84:VIDMOF:Vertical integral of divergence of moisture flux [kg m^-2 s^-1]
85:VIDGF:Vertical integral of divergence of geopotential flux [W m^-2]
86:VIDTOTEF:Vertical integral of divergence of total energy flux [W m^-2]
87:VIDO3F:Vertical integral of divergence of ozone flux [kg m^-2 s^-1]
100:TSWR:Tendency of short wave radiation [K]
101:TLWR:Tendency of long wave radiation [K]
102:TCSSWR:Tendency of clear sky short wave radiation [K]
103:TCSLWR:Tendency of clear sky long wave radiation [K]
104:UMF:Updraught mass flux [kg m^-2]
105:DMF:Downdraught mass flux [kg m^-2]
106:UDR:Updraught detrainment rate [s m^-1]
107:DDR:Downdraught detrainment rate [s m^-1]
108:TPF:Total precipitation flux [kg m^-2]
109:TDCFH:Turbulent diffusion coefficient for heat [m^2]
110:TT:Tendency of temperature [K]
111:TQ:Tendency of specific humidity [kg kg^-1]
112:TUC:Tendency of u component [m s^-1]
113:TVC:Tendency of v component [m s^-1]
206:VG:Variance of geopotential [m^4 s^-4]
207:CG:Covariance of geopotential temperature [m^2 K s^-2]
208:VT:Variance of temperature [K^2]
209:CGQ:Covariance of geopotential specific humidity [m^2 s^-2]
210:CTQ:Covariance of temperature specific humidity [K]
211:VQ:Variance of specific humidity []
212:CUZ:Covariance of u component geopotential [M^3 s^-3]
213:CUT:Covariance of u component temperature [m s^-1 K]
214:CUQ:Covariance of u component specific humidity [m s^-1]
215:VU:Variance of u component [m^2 s^-2]
216:CVZ:Covariance of v component geopotential [M^3 s^-3]
217:CVT:Covariance of v component temperaure [m s^-1 K]
218:CVQ:Covariance of v component specific humidity [m s^-1]
219:CVU:Covariance of v component u component [m^2 s^-2]
220:VV:Variance of v component [m^2 s^-2]
221:COZ:Covariance of omega geopotential [m^2 Pa s^-3]
222:COT:Covariance of omega temperature [Pa s^-1 K]
223:COQ:Covariance of omega specific humidity [Pa s^-1]
224:COU:Covariance of omega u component [m Pa s^-2]
225:COV:Covariance of omega v component [m Pa s^-2]
226:VO:Variance of omega [Pa^2 s^-2]
227:VSP:Variance of surface pressure [Pa^2]
229:VRH:Variance of relative humidity []
230:CUO3:Covariance of u component ozone [m s^-1]
231:CVO3:Covariance of v component ozone [m s^-1]
232:COO3:Covariance of omega ozone [Pa s^-1]
233:VO3:Variance of ozone []
255:var255:undefined
