.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
|----------|--------|----------------------------------------------------------|
|          |        |                                                          |
| NC003001 | A63230 | MTYP 003-001 GEOSYNCHRONOUS - GOES 5x5 FOV SND/RAD/CLD   |
*  ** MESSAGE TYPE 003-001 NO LONGER PRODUCED AFTER APPROX. OCTOBER 2008 **    |
| NC003002 | A63199 | MTYP 003-002 GEOSYNCHRONOUS - GOES 1x1 FOV CLOUD         |
| NC003003 | A63198 | MTYP 003-003 GEOSYNCHRONOUS - GOES 1x1 FOV SND/RAD       |
| NC003010 | A61160 | MTYP 003-010 GPS RADIO OCCULTN -CHAMP,COSMIC,GRACE,GRAS  |
| NC003101 | A63226 | MTYP 003-101 POLAR ORBITING - TOVS                       |
*  ** MESSAGE TYPE 003-101 NO LONGER PRODUCED AFTER APPROX. OCTOBER 1998 **    |
| NC003102 | A63227 | MTYP 003-102 POLAR ORBITING - RTOVS                      |
*  ** MESSAGE TYPE 003-102 NO LONGER PRODUCED AFTER APPROX. JULY 2001 **       |
| NC003104 | A61215 | MTYP 003-104 POLAR ORBITING - ATOVS                      |
|          |        |                                                          |
| YYMMDD   | 301011 | DATE -- YEAR, MONTH, DAY                                 |
| HHMM     | 301012 | TIME -- HOUR, MINUTE                                     |
| LTLONH   | 301021 | HIGH ACCURACY LATITUDE/LONGITUDE POSITION                |
| LOCPLAT  | 304030 | LOCATION OF PLATFORM (SATELLITE) SEQUENCE                |
| SPDPLAT  | 304031 | SPEED OF PLATFORM (SATELLITE) SEQUENCE                   |
| SIIDSEQ  | 310022 | SATELLITE AND INSTRUMENT IDENTIFICATION SEQUENCE         |
| ROSEQ1   | 352100 | RAOC PROFILE LOCATIONS SEQUENCE                          |
| ROSEQ2   | 352101 | RAOC FREQ/IMPACT PARM/BENDING ANGLE SEQUENCE             |
| ROSEQ3   | 352102 | RAOC HEIGHT/REFRACTIVITY SEQUENCE                        |
| ROSEQ4   | 352103 | RAOC LEVEL-2 RETRIEVAL SEQUENCE                          |
|          |        |                                                          |
| RTRV     | 361181 | TOVS RETRIEVAL SEQUENCE                                  |
| BRIT     | 361182 | BRIGHTNESS TEMPERATURE SEQUENCE                          |
| RTOV     | 361183 | RTOVS RETRIEVAL SEQUENCE                                 |
| ATOV     | 361184 | ATOVS RETRIEVAL SEQUENCE                                 |
| GTEMP    | 361185 | GOES SOUNDING SEQUENCE                                   |
| GPWAT    | 361186 | GOES 1x1 FOV PRECIPITABLE WATER SEQUENCE                 |
| BRITST   | 361187 | BRIGHTNESS TEMPERATURE SEQUENCE                          |
| GELEV    | 361188 | GOES 1x1 FOV SOLAR/SATELLITE ELEVATION SEQUENCE          |
| GSKIN    | 361189 | GOES 1x1 FOV SKIN TEMPERATURE SEQUENCE                   |
|          |        |                                                          |
| SAID     | 001007 | SATELLITE IDENTIFIER                                     |
| OGCE     | 001033 | IDENTIFICATION OF ORIGINATING/GENERATING CENTER          |
| PS00     | 001041 | ABSOLUTE PLATFORM VELOCITY - FIRST COMPONENT             |
