-1:98:-1:140
220:MP1:Mean wave period first moment [s]
221:MP2:Mean wave period second moment [s]
222:WDW:Wave spectral width []
223:P1WW:Mean wave period first moment for wind waves [s]
224:P2WW:Mean wave period second moment for wind waves [s]
225:DWWW:Wave spectral width for wind waves []
226:P1PS:Mean wave period first moment for swell [s]
227:P2PS:Mean wave period second moment for swell [s]
228:DWPS:Wave spectral width for swell []
229:SWH:Significant wave height [m]
230:MWD:Mean wave direction [degrees]
231:PP1D:Peak period of 1d spectra [s]
232:MWP:Mean wave period [s]
233:CDWW:Coefficient of drag with waves []
234:SHWW:Significant height of wind waves [m]
235:MDWW:Mean direction of wind waves [degrees]
236:MPWW:Mean period of wind waves [s]
237:SHPS:Significant height of primary swell [m]
238:MDPS:Mean direction of primary swell [degrees]
239:MPPS:Mean period of primary swell [s]
240:SDHS:Standard deviation wave height [m]
241:MU10:Mean of 10m windspeed [m s^-1]
242:MDWI:Mean wind direction [degrees]
243:SDU:Standard deviation 10m wind speed [m s^-1]
244:MSQS:Mean square slope of waves []
245:WIND:Ten metre windspeed [m s^-1]
246:AWH:Altimeter wave height [m]
247:ACWH:Altimeter corrected wave height [m]
248:ARRC:Altimeter range relative correction []
249:DWI:10 meter wind direction [degrees]
250:2DSP:2D wave spectra [m^2 s radiance^-1]
251:None:2D wave spectra single direction frequency [m^2 s radiance^-1]
