"No","Code","Agency_E","Type_E","InstrumentShortName_E","InstrumentLongName_E","Status"
129.00,"396","NASA","Radiometer","Hyperion","Hyperspectral imager","Operational"
130.00,"399","NASA","Spectro-radiometer","SAGE I","Stratospheric aerosol and gas experiment - I","Operational"
131.00,"400","NASA","Spectro-radiometer","SAGE II","Stratospheric aerosol and gas experiment - II","Operational"
132.00,"401","NASA","Spectro-radiometer","SAGE III","Stratospheric aerosol and gas experiment - III","Operational"
133.00,"402","NASA","Spectro-radiometer","SAMS","Stratospheric and mesospheric sounder","Operational"
134.00,"403","NASA","Spectro-radiometer","SAM-II","Stratospheric aerosol measurement - II","Operational"
135.00,"404","NASA","Spectro-radiometer","IRIS","Infrared interferometer spectrometer","Operational"
136.00,"405","NASA","Atmospheric temperature and humidity sounder","GIFTS","Geosynchronous imaging Fourier transform spectrometer","Operational"
137.00,"420","NASA","Spectrometer","AIRS","Atmospheric Infrared sounder","Operational"
138.00,"426","NASA","Spectrometer","SOLSTICE","Solar stellar irradiance comparison experiment","Operational"
139.00,"430","NASA","Spectrometer","TES","Troposhperic emission spectrometer","Operational"
140.00,"431","NASA","Spectrometer","TOMS","Total ozone mapping spectrometer","Operational"
141.00,"450","JAXA","Communications","ADEOS Comms","Communications package for ADEOS","Operational"
142.00,"451","JAXA","Communications","DCS (JAXA)","Data collection system (JAXA)","Operational"
143.00,"453","NASDA","Communications","GMS Comms","Communications package on GMS","Operational"
144.00,"454","NASDA","Communications","JERS-1 Comms","Communications package for JERS-1","Operational"
145.00,"460","NASDA","Lidar","RIS","Retroreflector in space","Operational"
146.00,"461","NASDA","Radar","PR","Precipitation radar","Operational"
147.00,"462","NASDA","Imaging microwave radar","SAR","Synthetic aperture radar","Operational"
148.00,"470","JAXA","Imaging microwave radar","PALSAR","Phased array type L-band synthetic aperture radar","Operational"
149.00,"479","JAXA","Imaging multi-spectral radiometer (passive microwave)","AMSR-E","Advanced microwave scanning radiometer - EOS","Operational"
150.00,"480","JAXA","High resolution optical imager","PRISM (ALOS)","Panchromatic remote-sensing Instrument for stereo mapping","Operational"
151.00,"481","JAXA","Radiometer","AMSR","Advanced microwave scanning radiometer","Operational"
152.00,"482","NASDA","High-resolution optical imager","AVNIR","Advanced visible and near infrared radiometer","Operational"
153.00,"483","JAXA","High-resolution optical imager","AVNIR-2","Advanced visible and near infra-red radiometer type 2","Operational"
154.00,"484","JAXA","Imager","GLI","Global imager","Operational"
155.00,"485","NASDA","Radiometer","MESSR","Multispectral electronic self scanning radiometer","Operational"
156.00,"486","NASDA","Radiometer","MSR","Microwave scanning radiometer","Operational"
157.00,"487","NASDA","Radiometer","OCTS","Ocean color and temperature scanner","Operational"
158.00,"488","NASDA","Radiometer","OPS","Optical sensor","Operational"
159.00,"489","NASDA","Radiometer","VISSR (GMS-5)","Visible and infrared spin scan radiometer (GMS-5)","Operational"
160.00,"490","NASDA","Radiometer","VTIR","Visible and thermal infrared radiometer","Operational"
161.00,"510","NASDA","Spectrometer","ILAS-I","Improved limb atmospheric spectrometer","Operational"
162.00,"511","NASDA","Spectrometer","ILAS-II","Improved limb atmosphiric spectrometer","Operational"
163.00,"512","NASDA","Spectrometer","IMG","Inferometric monitor of greenhouse gases","Operational"
164.00,"514","NASDA","Space environment","SEM","Space environment monitor (NASDA)","Operational"
165.00,"515","JAXA","Total and profile ozone","SOFIS","Solar occultation Fourier transform spectrometer for inclined orbit satellite","Operational"
166.00,"516","JAXA","Spectrometer","TANSO-FTS","Thermal and Near infrared Sensor for carbon Observations (TANSO) Fourier Transform Spectrometer (FTS)","Operational"
167.00,"517","JAXA","Imager","TANSO-CAI","Thermal and Near infrared Sensor for carbon Observations (TANSO) Cloud and Aerosol Imager (CAI)","Operational"
168.00,"540","NOAA","Communications","DCS (NOAA)","Data-collection system (NOAA)","Operational"
169.00,"541","NOAA","Communications","GOES Comms","Communications package on GOES","Operational"
170.00,"542","NOAA","Communications","LANDSAT Comms","Communications package for LANDSAT","Operational"
171.00,"543","NOAA","Communications","NOAA Comms","Communications package for NOAA","Operational"
172.00,"544","NOAA","Communications","S&R (GOES)","Search and rescue","Operational"
173.00,"545","NOAA","Communications","S&R (NOAA)","Search and rescue","Operational"
174.00,"546","NOAA","Communications","WEFAX","Weather facsimile","Operational"
175.00,"547","NOAA","Spectrometer","SEM(GOES)","Space environment monitor","Operational"
176.00,"550","NOAA","Magnetic field","SSM","Special sensor magnetometer","Operational"
177.00,"551","NOAA","Magnetic field","SSJ/4","Special sensor precipitating plasma monitor","Operational"
