"No","Category","CategoryOfSequences_E","FXY1","Title_E","SubTitle_E","FXY2","ElementName_E","ExistingElementName_E","Note_E","Status"
1.00,"00","BUFR table entries sequences","300002",,,"000002","Table A: data category description, line 1","Table A category, line 1",,"Operational"
2.00,"00","BUFR table entries sequences","300002",,,"000003","Table A: data category description, line 2","Table A category, line 2",,"Operational"
3.00,"00","BUFR table entries sequences","300003",,,"000010","F descriptor to be added or defined","F, part descriptor",,"Operational"
4.00,"00","BUFR table entries sequences","300003",,,"000011","X descriptor to be added or defined","X, part descriptor",,"Operational"
5.00,"00","BUFR table entries sequences","300003",,,"000012","Y descriptor to be added or defined","Y, part descriptor",,"Operational"
6.00,"00","BUFR table entries sequences","300004",,,"300003",,,,"Operational"
7.00,"00","BUFR table entries sequences","300004",,,"000013","Element name, line 1","Element name, line 1",,"Operational"
8.00,"00","BUFR table entries sequences","300004",,,"000014","Element name, line 2","Element name, line 2",,"Operational"
9.00,"00","BUFR table entries sequences","300004",,,"000015","Units name","Units name",,"Operational"
10.00,"00","BUFR table entries sequences","300004",,,"000016","Units scale sign","Units scale sign",,"Operational"
11.00,"00","BUFR table entries sequences","300004",,,"000017","Units scale","Units scale",,"Operational"
12.00,"00","BUFR table entries sequences","300004",,,"000018","Units reference sign","Units reference sign",,"Operational"
13.00,"00","BUFR table entries sequences","300004",,,"000019","Units reference value","Units reference value",,"Operational"
14.00,"00","BUFR table entries sequences","300004",,,"000020","Element data width","Element data width",,"Operational"
15.00,"00","BUFR table entries sequences","300010",,,"300003",,"Table D descriptor to be defined",,"Operational"
16.00,"00","BUFR table entries sequences","300010",,,"101000","Replication descriptor","Delayed replication of 1 descriptor",,"Operational"
17.00,"00","BUFR table entries sequences","300010",,,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Operational"
18.00,"00","BUFR table entries sequences","300010",,,"000030","Descriptor defining sequence","Descriptor defining sequence",,"Operational"
19.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000030","Descriptor defining sequence","Descriptor defining sequence (FXY)",,"Validation"
20.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"102000","Replication descriptor","Delayed replication of 2 descriptors",,"Validation"
21.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"031002","Extended delayed descriptor replication factor","Extended delayed descriptor replication factor",,"Validation"
22.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000024","Code figure","Code figure",,"Validation"
23.00,"00","BUFR table entries sequences","300015","(Code table definition)",,"000025","Code figure meaning","Code figure meaning",,"Validation"
24.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000030","Descriptor defining sequence","Descriptor defining sequence (FXY)",,"Validation"
25.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"102000","Replication descriptor","Delayed replication of 2 descriptors",,"Validation"
26.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"031001","Delayed descriptor replication factor","Delayed descriptor replication factor",,"Validation"
27.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000026","Bit number","Bit number",,"Validation"
28.00,"00","BUFR table entries sequences","300016","(Flag table definition)",,"000027","Bit number meaning","Bit number meaning",,"Validation"
29.00,"01","Location and identification sequences","301001",,,"001001","WMO block number","WMO block number",,"Operational"
30.00,"01","Location and identification sequences","301001",,,"001002","WMO station number","WMO station number",,"Operational"
31.00,"01","Location and identification sequences","301002",,,"001003","WMO Region number/geographical area","WMO Region number","*#BUFR_15_1_1_TableD.doc#B_Cat01f","Operational"
32.00,"01","Location and identification sequences","301002",,,"001004","WMO Region sub-area","WMO Region sub-area",,"Operational"
33.00,"01","Location and identification sequences","301002",,,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
34.00,"01","Location and identification sequences","301003",,,"001011","Ship or mobile land station identifier","Ship's call sign",,"Operational"
35.00,"01","Location and identification sequences","301003",,,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
36.00,"01","Location and identification sequences","301003",,,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
37.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001001","WMO block number","WMO block number",,"Operational"
38.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001002","WMO station number","WMO station number",,"Operational"
39.00,"01","Location and identification sequences","301004","(Surface station identification)",,"001015","Station or site name","Station or site name",,"Operational"
40.00,"01","Location and identification sequences","301004","(Surface station identification)",,"002001","Type of station","Type of station",,"Operational"
41.00,"01","Location and identification sequences","301005","(Origin and identification sequence)",,"001035","Originating Centre","Originating centre",,"Operational"
42.00,"01","Location and identification sequences","301005","(Origin and identification sequence)",,"001034","Identification of originating/generating sub-centre","Identification of originating/generating sub-centre",,"Operational"
43.00,"01","Location and identification sequences","301011",,,"004001","Year","Year",,"Operational"
44.00,"01","Location and identification sequences","301011",,,"004002","Month","Month",,"Operational"
45.00,"01","Location and identification sequences","301011",,,"004003","Day","Day",,"Operational"
46.00,"01","Location and identification sequences","301012",,,"004004","Hour","Hour",,"Operational"
47.00,"01","Location and identification sequences","301012",,,"004005","Minute","Minute",,"Operational"
48.00,"01","Location and identification sequences","301013",,,"004004","Hour","Hour",,"Operational"
49.00,"01","Location and identification sequences","301013",,,"004005","Minute","Minute",,"Operational"
50.00,"01","Location and identification sequences","301013",,,"004006","Second","Second",,"Operational"
51.00,"01","Location and identification sequences","301014","(Time period)",,"102002","Replication descriptor","Replication of 2 descriptors 2 times",,"Operational"
52.00,"01","Location and identification sequences","301014","(Time period)",,"301011",,"Year, Month, Day",,"Operational"
53.00,"01","Location and identification sequences","301014","(Time period)",,"301012",,"Hour, Minute",,"Operational"
54.00,"01","Location and identification sequences","301021",,,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
55.00,"01","Location and identification sequences","301021",,,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
56.00,"01","Location and identification sequences","301022",,,"005001","Latitude (high accuracy)","Latitude (high accuracy)",,"Operational"
57.00,"01","Location and identification sequences","301022",,,"006001","Longitude (high accuracy)","Longitude (high accuracy)",,"Operational"
58.00,"01","Location and identification sequences","301022",,,"007001","Height of station","Height of station",,"Operational"
59.00,"01","Location and identification sequences","301023",,,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
60.00,"01","Location and identification sequences","301023",,,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
61.00,"01","Location and identification sequences","301024",,,"005002","Latitude (coarse accuracy)","Latitude (coarse accuracy)",,"Operational"
62.00,"01","Location and identification sequences","301024",,,"006002","Longitude (coarse accuracy)","Longitude (coarse accuracy)",,"Operational"
63.00,"01","Location and identification sequences","301024",,,"007001","Height of station","Height of station",,"Operational"
64.00,"01","Location and identification sequences","301025",,,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
65.00,"01","Location and identification sequences","301025",,,"004003","Day","Day",,"Operational"
66.00,"01","Location and identification sequences","301025",,,"301012",,"Time",,"Operational"
67.00,"01","Location and identification sequences","301026",,,"301021",,"Latitude and longitude (high accuracy)",,"Operational"
68.00,"01","Location and identification sequences","301026",,,"004003","Day","(Time period in days)",,"Operational"
69.00,"01","Location and identification sequences","301026",,,"004003","Day","(Time period in days)",,"Operational"
70.00,"01","Location and identification sequences","301026",,,"004004","Hour","(Time period in hours)",,"Operational"
71.00,"01","Location and identification sequences","301026",,,"004004","Hour","(Time period in hours)",,"Operational"
72.00,"01","Location and identification sequences","301026",,,"004005","Minute","(Time period in minutes)",,"Operational"
73.00,"01","Location and identification sequences","301026",,,"004005","Minute","(Time period in minutes)",,"Operational"
74.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance (0 = Point, 1 = Line, 2 = Area, 3 = Volume)",,"Operational"
75.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"101000","Replication descriptor","Delayed replication of 1 descriptor",,"Operational"
76.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"031001","Delayed descriptor replication factor","Replication factor (see Note 5)",,"Operational"
77.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"301028","Horizontal section of a feature described as a polygon, circle, line or point","Description of horizontal section",,"Operational"
78.00,"01","Location and identification sequences","301027","(Description of a feature in 3-D or 2-D)",,"008007","Dimensional significance","Dimensional significance, Missing = Cancel",,"Operational"
79.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight Level significance","Flight level significance",,"Operational"
80.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"033042","Type of limit represented by following value","Type of limit represented by following (flight level) value",,"Operational"
81.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"007010","Flight level","Flight level",,"Operational"
82.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"101000","Replication descriptor","Delayed replication of 1 descriptor",,"Operational"
83.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"031002","Extended delayed descriptor replication factor","Extended replication factor","(see Note 6)#BUFR_15_1_1_TableD.doc#B_Cat01","Operational"
84.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"301023",,"Location",,"Operational"
85.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"019007","Effective radius of feature","Radius of feature","(see Note 7)#BUFR_15_1_1_TableD.doc#B_Cat01","Operational"
86.00,"01","Location and identification sequences","301028","(Horizontal section of a feature described as a polygon, circle, line or point)",,"008040","Flight Level significance","Flight level significance, Missing = Cancel",,"Operational"
87.00,"01","Location and identification sequences","301031",,,"301001",,"WMO block and station number",,"Operational"
88.00,"01","Location and identification sequences","301031",,,"002001","Type of station","Type of station",,"Operational"
89.00,"01","Location and identification sequences","301031",,,"301011",,"Date",,"Operational"
90.00,"01","Location and identification sequences","301031",,,"301012",,"Time",,"Operational"
91.00,"01","Location and identification sequences","301031",,,"301022",,"Latitude and longitude (high accuracy), height of station",,"Operational"
92.00,"01","Location and identification sequences","301032",,,"301001",,"WMO block and station number",,"Operational"
93.00,"01","Location and identification sequences","301032",,,"002001","Type of station","Type of station",,"Operational"
94.00,"01","Location and identification sequences","301032",,,"301011",,"Date",,"Operational"
95.00,"01","Location and identification sequences","301032",,,"301012",,"Time",,"Operational"
96.00,"01","Location and identification sequences","301032",,,"301024",,"Latitude and longitude (coarse accuracy), height of station",,"Operational"
97.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
98.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
99.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301011",,"Date",,"Operational"
100.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301012",,"Time",,"Operational"
101.00,"01","Location and identification sequences","301033","(Buoy/platform - fixed)",,"301021",,"Latitude and longitude (high accuracy)",,"Operational"
102.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
103.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"002001","Type of station","Type of station",,"Operational"
104.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301011",,"Date",,"Operational"
105.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301012",,"Time",,"Operational"
106.00,"01","Location and identification sequences","301034","(Buoy/platform - fixed)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
107.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001005","Buoy/platform identifier","Buoy/platform identifier","(see Note 4)#BUFR_15_1_1_TableD.doc#B_Cat01","Operational"
108.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
109.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"001013","Speed of motion of moving observing platform","Speed of motion of moving observing platform",,"Operational"
110.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"002001","Type of station","Type of station",,"Operational"
111.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301011",,"Date",,"Operational"
112.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301012",,"Time",,"Operational"
113.00,"01","Location and identification sequences","301035","(Buoy/platform - moving)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
114.00,"01","Location and identification sequences","301036","(Ship)",,"301003",,"Ship's call sign and motion",,"Operational"
115.00,"01","Location and identification sequences","301036","(Ship)",,"002001","Type of station","Type of station",,"Operational"
116.00,"01","Location and identification sequences","301036","(Ship)",,"301011",,"Date",,"Operational"
117.00,"01","Location and identification sequences","301036","(Ship)",,"301012",,"Time",,"Operational"
118.00,"01","Location and identification sequences","301036","(Ship)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
119.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301001",,"WMO block and station number",,"Operational"
120.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
121.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
122.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301011",,"Date",,"Operational"
123.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301012",,"Time",,"Operational"
124.00,"01","Location and identification sequences","301037","(Land station for vertical soundings)",,"301022",,"Latitude and longitude (high accuracy), height of station",,"Operational"
125.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301001",,"WMO block and station number",,"Operational"
126.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
127.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
128.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301011",,"Date",,"Operational"
129.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301012",,"Time",,"Operational"
130.00,"01","Location and identification sequences","301038","(Land station for vertical soundings)",,"301024",,"Latitude and longitude (coarse accuracy), height of station",,"Operational"
131.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301003",,"Ship's call sign and motion",,"Operational"
132.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"002011","Radiosonde type","Radiosonde type",,"Operational"
133.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
134.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301011",,"Date",,"Operational"
135.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301012",,"Time",,"Operational"
136.00,"01","Location and identification sequences","301039","(Ship for vertical soundings)",,"301023",,"Latitude and longitude (coarse accuracy)",,"Operational"
137.00,"01","Location and identification sequences","301040",,,"301003",,"Ship's call sign and motion",,"Operational"
138.00,"01","Location and identification sequences","301040",,,"002011","Radiosonde type","Radiosonde type",,"Operational"
139.00,"01","Location and identification sequences","301040",,,"002012","Radiosonde computational method","Radiosonde computational method",,"Operational"
140.00,"01","Location and identification sequences","301040",,,"301011",,"Date",,"Operational"
141.00,"01","Location and identification sequences","301040",,,"301012",,"Time",,"Operational"
142.00,"01","Location and identification sequences","301040",,,"301024",,"Latitude and longitude (coarse accuracy), height of station",,"Operational"
143.00,"01","Location and identification sequences","301041",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
144.00,"01","Location and identification sequences","301041",,,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
145.00,"01","Location and identification sequences","301041",,,"002022","Satellite data-processing technique used","Satellite data-processing technique used",,"Operational"
146.00,"01","Location and identification sequences","301041",,,"301011",,"Date",,"Operational"
147.00,"01","Location and identification sequences","301041",,,"301012",,"Time",,"Operational"
148.00,"01","Location and identification sequences","301042",,,"301041",,"Satellite identifier, data used, and data processing technique; date/time",,"Operational"
149.00,"01","Location and identification sequences","301042",,,"301021",,"Latitude, longitude",,"Operational"
150.00,"01","Location and identification sequences","301043",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
151.00,"01","Location and identification sequences","301043",,,"002023","Satellite derived wind computation method","Cloud motion computational method",,"Operational"
152.00,"01","Location and identification sequences","301043",,,"301011",,"Date",,"Operational"
153.00,"01","Location and identification sequences","301043",,,"301013",,"Time",,"Operational"
154.00,"01","Location and identification sequences","301043",,,"301021",,"Latitude, longitude",,"Operational"
155.00,"01","Location and identification sequences","301044",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
156.00,"01","Location and identification sequences","301044",,,"002024","Integrated mean humidity computational method","Integrated mean humidity computational method",,"Operational"
157.00,"01","Location and identification sequences","301044",,,"301011",,"Date",,"Operational"
158.00,"01","Location and identification sequences","301044",,,"301013",,"Time",,"Operational"
159.00,"01","Location and identification sequences","301044",,,"301021",,"Latitude, longitude",,"Operational"
160.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"301011",,"Year, month, day",,"Operational"
161.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"301012",,"Time (hour, minute)",,"Operational"
162.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"201138","Change data width","Change width to 16 bits",,"Operational"
163.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"202131","Change scale","Change scale to 3",,"Operational"
164.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"004006","Second","Second",,"Operational"
165.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"201000","Change data width","Change width back to Table B",,"Operational"
166.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"202000","Change scale","Change scale back to Table B",,"Operational"
167.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"304030","Location of platform","Location relative to the Earth’s centre",,"Operational"
168.00,"01","Location and identification sequences","301045","(Satellite location and velocity)",,"304031","Speed of platform","Velocity relative to the Earth’s centre",,"Operational"
169.00,"01","Location and identification sequences","301046",,,"001007","Satellite identifier","Satellite identifier",,"Operational"
170.00,"01","Location and identification sequences","301046",,,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
171.00,"01","Location and identification sequences","301046",,,"002048","Satellite sensor indicator","Satellite sensor indicator",,"Operational"
172.00,"01","Location and identification sequences","301046",,,"021119","Wind scatterometer geophysical model function","Wind scatterometer geophysical model function",,"Operational"
173.00,"01","Location and identification sequences","301046",,,"025060","Software identification","Software identification",,"Operational"
174.00,"01","Location and identification sequences","301046",,,"202124","Change scale","Change scale",,"Operational"
175.00,"01","Location and identification sequences","301046",,,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
176.00,"01","Location and identification sequences","301046",,,"002027","Along-track resolution","Along-tract resolution",,"Operational"
177.00,"01","Location and identification sequences","301046",,,"202000","Change scale","Change scale back to Table B",,"Operational"
178.00,"01","Location and identification sequences","301046",,,"005040","Orbit number","Orbit number",,"Operational"
179.00,"01","Location and identification sequences","301047","(ERS product header)",,"001007","Satellite identifier","Satellite identifier",,"Operational"
180.00,"01","Location and identification sequences","301047","(ERS product header)",,"025060","Software identification","Software identification",,"Operational"
181.00,"01","Location and identification sequences","301047","(ERS product header)",,"001033","Identification of originating/generating centre","Originating/generating centre",,"Operational"
182.00,"01","Location and identification sequences","301047","(ERS product header)",,"001034","Identification of originating/generating sub-centre","Originating/generating sub-centre",,"Operational"
183.00,"01","Location and identification sequences","301047","(ERS product header)",,"001012","Direction of motion of moving observing platform","Direction of motion of moving observation platform",,"Operational"
184.00,"01","Location and identification sequences","301047","(ERS product header)",,"301045","Satellite location and velocity","Satellite location and velocity",,"Operational"
185.00,"01","Location and identification sequences","301047","(ERS product header)",,"002021","Satellite instrument data used in processing","Satellite instrument data used in processing",,"Operational"
186.00,"01","Location and identification sequences","301047","(ERS product header)",,"301011",,"Date (year, month, day)",,"Operational"
187.00,"01","Location and identification sequences","301047","(ERS product header)",,"301012",,"Time (hour, minute)",,"Operational"
188.00,"01","Location and identification sequences","301047","(ERS product header)",,"201138","Change data width","Change bit width to 16 bits",,"Operational"
189.00,"01","Location and identification sequences","301047","(ERS product header)",,"202131","Change scale","Change scale to 3",,"Operational"
190.00,"01","Location and identification sequences","301047","(ERS product header)",,"004006","Second","Second",,"Operational"
191.00,"01","Location and identification sequences","301047","(ERS product header)",,"201000","Change data width","Change width back to Table B",,"Operational"
192.00,"01","Location and identification sequences","301047","(ERS product header)",,"202000","Change scale","Change scale back to Table B",,"Operational"
193.00,"01","Location and identification sequences","301047","(ERS product header)",,"301023",,"Location (latitude, longitude)",,"Operational"
194.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002104","Antenna polarisation","Antenna polarization",,"Operational"
195.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002121","Mean frequency","Mean frequency",,"Operational"
196.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002113","Number of azimuth looks","Number of azimuth looks",,"Operational"
197.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002026","Cross-track resolution","Cross-track resolution",,"Operational"
198.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002027","Along-track resolution","Along-track resolution",,"Operational"
199.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
200.00,"01","Location and identification sequences","301048","(Radar parameters)",,"002140","Satellite radar beam azimuth angle","Satellite radar beam azimuth angle",,"Operational"
201.00,"01","Location and identification sequences","301048","(Radar parameters)",,"202127","Change scale","Change scale to -1",,"Operational"
202.00,"01","Location and identification sequences","301048","(Radar parameters)",,"001013","Speed of motion of moving observing platform","Radar platform velocity",,"Operational"
203.00,"01","Location and identification sequences","301048","(Radar parameters)",,"202126","Change scale","Change scale to -2",,"Operational"
204.00,"01","Location and identification sequences","301048","(Radar parameters)",,"007001","Height of station","Radar platform altitude",,"Operational"
205.00,"01","Location and identification sequences","301048","(Radar parameters)",,"202000","Change scale","Change scale to Table B",,"Operational"
206.00,"01","Location and identification sequences","301048","(Radar parameters)",,"025010","Clutter treatment","Clutter treatment",,"Operational"
207.00,"01","Location and identification sequences","301048","(Radar parameters)",,"021064","Clutter noise estimate","Clutter noise estimate",,"Operational"
208.00,"01","Location and identification sequences","301049","(Radar beam data)",,"002111","Radar incidence angle","Radar incidence angle",,"Operational"
209.00,"01","Location and identification sequences","301049","(Radar beam data)",,"002112","Radar look angle","Radar look angle",,"Operational"
210.00,"01","Location and identification sequences","301049","(Radar beam data)",,"021062","Backscatter","Backscatter",,"Operational"
211.00,"01","Location and identification sequences","301049","(Radar beam data)",,"021063","Radiometric resolution (noise value)","Radiometric resolution (Noise value)",,"Operational"
212.00,"01","Location and identification sequences","301049","(Radar beam data)",,"021065","Missing packet counter","Missing packet counter",,"Operational"
213.00,"01","Location and identification sequences","301051",,,"001006","Aircraft flight number","Aircraft flight number",,"Operational"
214.00,"01","Location and identification sequences","301051",,,"002061","Aircraft navigational system","Navigational system",,"Operational"
215.00,"01","Location and identification sequences","301051",,,"301011",,"Date",,"Operational"
216.00,"01","Location and identification sequences","301051",,,"301012",,"Time",,"Operational"
217.00,"01","Location and identification sequences","301051",,,"301021",,"Latitude, longitude",,"Operational"
218.00,"01","Location and identification sequences","301051",,,"008004","Phase of aircraft flight","Phase of aircraft flight",,"Operational"
219.00,"01","Location and identification sequences","301055",,,"001005","Buoy/platform identifier","Buoy/platform identifier",,"Operational"
220.00,"01","Location and identification sequences","301055",,,"002001","Type of station","Type of station",,"Operational"
221.00,"01","Location and identification sequences","301055",,,"301011",,"Date",,"Operational"
222.00,"01","Location and identification sequences","301055",,,"301012",,"Time",,"Operational"
223.00,"01","Location and identification sequences","301055",,,"301021",,"Latitude and longitude (high accuracy)",,"Operational"
224.00,"01","Location and identification sequences","301055",,,"001012","Direction of motion of moving observing platform","Direction of motion of moving observing platform",,"Operational"
225.00,"01","Location and identification sequences","301055",,,"001014","Platform drift speed (high precision)","Platform drift speed (high precision)",,"Operational"
226.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","301011",,"Year, month, day",,"Pre-operational"
227.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","301012",,"Hour, minute",,"Pre-operational"
228.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","201152",,,,"Pre-operational"
229.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","202135",,,,"Pre-operational"
230.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","004006","Second","Second",,"Pre-operational"
231.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","202000",,,,"Pre-operational"
232.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Date/time of lightning event","201000",,,,"Pre-operational"
233.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","301021",,"Latitude, longitude (high accuracy)",,"Pre-operational"
234.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","020111","x-axis error ellipse major component","x-axis error ellipse",,"Pre-operational"
235.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","020112","y-axis error ellipse minor component","y-axis error ellipse",,"Pre-operational"
236.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","020113","z-axis error ellipse component","z-axis error ellipse",,"Pre-operational"
237.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","020114","Angle of x-axis in error ellipse","Angle of x-axis in error ellipse",,"Pre-operational"
238.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","020115","Angle of z-axis in error ellipse","Angle of z-axis in error ellipse",,"Pre-operational"
239.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Horizontal and vertical coordinates of lightning event","020116","Emission height of cloud stroke","Emission height of cloud stroke",,"Pre-operational"
240.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020117","Amplitude of lightning strike","Amplitude of lightning strike",,"Pre-operational"
241.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020118","Lightning detection error","Lightning detection error",,"Pre-operational"
242.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020119","Lightning discharge polarity","Lightning discharge polarity",,"Pre-operational"
243.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","025035","Decision method for polarity","Decision method for polarity (V or A)",,"Pre-operational"
244.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020121","Threshold value for polarity decision","Threshold voltage for polarity decision",,"Pre-operational"
245.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020122","Threshold value for polarity decision","Threshold current for polarity decision",,"Pre-operational"
246.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020123","Minimum threshold for detection","Minimum threshold for detection",,"Pre-operational"
247.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020124","Lightning stroke or flash","Lightning stroke or flash",,"Pre-operational"
248.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","025175","Modified residual","Modified residual",,"Pre-operational"
249.00,"01","Location and identification sequences","301058","(Universal Lightning Event)","Emission information","020023","Other weather phenomena","Other weather (for cloud to ground or cloud to cloud identification)",,"Pre-operational"
