"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
347,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","33",,"Categorical rain",,"(Code table 4.222)","Operational"
348,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","34",,"Categorical freezing rain",,"(Code table 4.222)","Operational"
349,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","35",,"Categorical ice pellets",,"(Code table 4.222)","Operational"
350,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","36",,"Categorical snow",,"(Code table 4.222)","Operational"
351,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","37",,"Convective precipitation rate",,"kg m-2 s-1","Operational"
352,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","38",,"Horizontal moisture divergence",,"kg kg-1 s-1","Operational"
353,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","39",,"Percent frozen precipitation",,"%","Operational"
354,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","40",,"Potential evaporation",,"kg m-2","Operational"
355,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","41",,"Potential evaporation rate",,"W m-2","Operational"
356,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","42",,"Snow cover",,"%","Operational"
357,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","43",,"Rain fraction of total cloud water",,"Proportion","Operational"
358,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","44",,"Rime factor",,"Numeric","Operational"
359,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","45",,"Total column integrated rain",,"kg m-2","Operational"
360,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","46",,"Total column integrated snow",,"kg m-2","Operational"
361,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","47",,"Large scale water precipitation (non-convective)",,"kg m-2","Validation (to deprecate)"
362,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","48",,"Convective water precipitation",,"kg m-2","Validation (to deprecate)"
363,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","49",,"Total water precipitation",,"kg m-2","Validation (to deprecate)"
364,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","50",,"Total snow precipitation",,"kg m-2","Validation (to deprecate)"
365,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","51",,"Total column water (Vertically integrated total water (vapour + cloud water/ice))",,"kg m-2","Operational"
366,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","52",,"Total precipitation rate","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_01n","kg m-2 s-1","Operational"
367,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","53",,"Total snowfall rate water equivalent","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_01n","kg m-2 s-1","Operational"
368,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","54",,"Large scale precipitation rate",,"kg m-2 s-1","Operational"
369,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","55",,"Convective snowfall rate water equivalent",,"kg m-2 s-1","Operational"
370,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","56",,"Large scale snowfall rate water equivalent",,"kg m-2 s-1","Operational"
371,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","57",,"Total snowfall rate",,"m/s","Operational"
372,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","58",,"Convective snowfall rate",,"m/s","Operational"
373,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","59",,"Large scale snowfall rate",,"m/s","Operational"
374,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","60",,"Snow depth water equivalent",,"kg m-2","Operational"
375,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","61",,"Snow density",,"kg m-3","Operational"
376,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","62",,"Snow evaporation",,"kg m-2","Operational"
377,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","63",,"Reserved",,,"Operational"
378,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","64",,"Total column integrated water vapour",,"kg m-2","Operational"
379,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","65",,"Rain precipitation rate",,"kg m-2 s-1","Operational"
380,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","66",,"Snow precipitation rate",,"kg m-2 s-1","Operational"
381,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","67",,"Freezing rain precipitation rate",,"kg m-2 s-1","Operational"
382,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","68",,"Ice pellets precipitation rate",,"kg m-2 s-1","Operational"
383,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","69",,"Total column integrated cloud water",,"kg m-2","Operational"
384,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","70",,"Total column integrated cloud ice",,"kg m-2","Operational"
385,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","71",,"Hail mixing ratio",,"kg/kg","Validation"
386,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","72",,"Total column integrated hail",,"kg m-2","Operational"
387,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","73",,"Hail precipitation rate",,"kg m-2 s-1","Validation"
388,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","74",,"Total column integrated graupel",,"kg m-2","Operational"
389,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","75",,"Graupel (snow pellets) precipitation rate",,"kg m-2 s-1","Validation"
390,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","76",,"Convective rain rate",,"kg m-2 s-1","Validation"
391,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","77",,"Large scale rain rate",,"kg m-2 s-1","Validation"
392,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","78",,"Total column integrated water (all components including precipitation)",,"kg m-2","Operational"
393,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","79",,"Evaporation rate",,"kg m-2 s-1","Validation"
394,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","80",,"Total Condensate",,"kg/kg","Validation"
395,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","81",,"Total Column-Integrated Condensate",,"kg m-2","Validation"
396,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","82",,"Cloud Ice Mixing-Ratio",,"kg/kg","Validation"
397,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","83",,"Specific cloud liquid water content",,"kg/kg","Operational"
398,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","84",,"Specific cloud ice water content",,"kg/kg","Operational"
399,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","85",,"Specific rain water content",,"kg/kg","Operational"
400,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","86",,"Specific snow water content",,"kg/kg","Operational"
401,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","87-191",,"Reserved",,,"Operational"
402,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","192-254",,"Reserved for local use",,,"Operational"
403,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 1: moisture","255",,"Missing",,,"Operational"
404,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","0",,"Wind direction (from which blowing)",,"deg","Operational"
405,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","1",,"Wind speed",,"m/s","Operational"
406,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","2",,"u-component of wind",,"m/s","Operational"
407,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","3",,"v-component of wind",,"m/s","Operational"
408,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","4",,"Stream function",,"m2 s-1","Operational"
409,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","5",,"Velocity potential",,"m2 s-1","Operational"
410,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","6",,"Montgomery stream function",,"m2 s-2","Operational"
411,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","7",,"Sigma coordinate vertical velocity",,"/s","Operational"
412,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","8",,"Vertical velocity (pressure)",,"Pa/s","Operational"
413,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","9",,"Vertical velocity (geometric)",,"m/s","Operational"
414,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","10",,"Absolute vorticity",,"/s","Operational"
415,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","11",,"Absolute divergence",,"/s","Operational"
416,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","12",,"Relative vorticity",,"/s","Operational"
417,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","13",,"Relative divergence",,"/s","Operational"
418,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","14",,"Potential vorticity",,"K m2 kg-1 s-1","Operational"
419,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","15",,"Vertical u-component shear",,"/s","Operational"
420,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","16",,"Vertical v-component shear",,"/s","Operational"
421,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","17",,"Momentum flux, u-component",,"N m-2","Operational"
422,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","18",,"Momentum flux, v-component",,"N m-2","Operational"
423,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","19",,"Wind mixing energy",,"J","Operational"
424,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","20",,"Boundary layer dissipation",,"W m-2","Operational"
425,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","21",,"Maximum wind speed","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_02n","m/s","Deprecated"
426,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","22",,"Wind speed (gust)",,"m/s","Operational"
427,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","23",,"u-component of wind (gust)",,"m/s","Operational"
428,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","24",,"v-component of wind (gust)",,"m/s","Operational"
429,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","25",,"Vertical speed shear",,"/s","Operational"
430,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","26",,"Horizontal momentum flux",,"N m-2","Operational"
431,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","27",,"u-component storm motion",,"m/s","Operational"
432,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","28",,"v-component storm motion",,"m/s","Operational"
433,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","29",,"Drag coefficient",,"Numeric","Operational"
434,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","30",,"Frictional velocity",,"m/s","Operational"
435,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","31",,"Turbulent diffusion coefficient for momentum",,"m2/s","Validation"
436,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","32",,"Eta coordinate vertical velocity",,"/s","Operational"
437,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","33-191",,"Reserved",,,"Operational"
438,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","192-254",,"Reserved for local use",,,"Operational"
439,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 2: momentum","255",,"Missing",,,"Operational"
440,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","0",,"Pressure",,"Pa","Operational"
441,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","1",,"Pressure reduced to MSL",,"Pa","Operational"
442,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","2",,"Pressure tendency",,"Pa/s","Operational"
443,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","3",,"ICAO Standard Atmosphere Reference Height",,"m","Operational"
444,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","4",,"Geopotential",,"m2 s-2","Operational"
445,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","5",,"Geopotential height",,"gpm","Operational"
446,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","6",,"Geometric height",,"m","Operational"
447,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","7",,"Standard deviation of height",,"m","Operational"
448,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","8",,"Pressure anomaly",,"Pa","Operational"
449,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","9",,"Geopotential height anomaly",,"gpm","Operational"
450,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","10",,"Density",,"kg m-3","Operational"
451,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","11",,"Altimeter setting",,"Pa","Operational"
452,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","12",,"Thickness",,"m","Operational"
453,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","13",,"Pressure altitude",,"m","Operational"
454,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","14",,"Density altitude",,"m","Operational"
455,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","15",,"5-wave geopotential height",,"gpm","Operational"
456,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","16",,"Zonal flux of gravity wave stress",,"N m-2","Operational"
457,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","17",,"Meridional flux of gravity wave stress",,"N m-2","Operational"
458,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","18",,"Planetary boundary layer height",,"m","Operational"
459,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","19",,"5-wave geopotential height anomaly",,"gpm","Operational"
460,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","20",,"Standard deviation of sub-grid scale orography",,"m","Operational"
461,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","21",,"Angle of sub-gridscale orography",,"rad","Operational"
462,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","22",,"Slope of sub-gridscale orography",,"Numeric","Operational"
463,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","23",,"Gravity wave dissipation",,"W m-2","Operational"
464,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","24",,"Anisotropy of sub-gridscale orography",,"Numeric","Operational"
465,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","25",,"Natural logarithm of pressure in Pa",,"Numeric","Operational"
466,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","26-191",,"Reserved",,,"Operational"
467,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","192-254",,"Reserved for local use",,,"Operational"
468,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 3: mass","255",,"Missing",,,"Operational"
469,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","0",,"Net short-wave radiation flux (surface)","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_04n","W m-2","Deprecated"
470,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","1",,"Net short-wave radiation flux (top of atmosphere)","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_04n","W m-2","Deprecated"
471,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","2",,"Short-wave radiation flux","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_04n","W m-2","Deprecated"
472,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","3",,"Global radiation flux",,"W m-2","Operational"
473,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","4",,"Brightness temperature",,"K","Operational"
474,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","5",,"Radiance (with respect to wave number)",,"W m-1 sr-1","Operational"
475,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","6",,"Radiance (with respect to wave length)",,"W m-3 sr-1","Operational"
476,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","7",,"Downward short-wave radiation flux",,"W m-2","Operational"
477,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","8",,"Upward short-wave radiation flux",,"W m-2","Operational"
478,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","9",,"Net short wave radiation flux",,"W m-2","Operational"
479,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","10",,"Photosynthetically active radiation",,"W m-2","Operational"
480,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","11",,"Net short-wave radiation flux, clear sky",,"W m-2","Operational"
481,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","12",,"Downward UV radiation",,"W m-2","Operational"
482,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","13-49",,"Reserved",,,"Operational"
483,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","50",,"UV index (under clear sky)","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_04n","Numeric","Operational"
484,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","51",,"UV index","**#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_04n","Numeric","Operational"
485,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","52-191",,"Reserved",,,"Operational"
486,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","192-254",,"Reserved for local use",,,"Operational"
487,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 4: short-wave radiation","255",,"Missing",,,"Operational"
488,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","0",,"Net long-wave radiation flux (surface)","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_05n","W m-2","Deprecated"
489,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","1",,"Net long-wave radiation flux (top of atmosphere)","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_05n","W m-2","Deprecated"
490,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","2",,"Long-wave radiation flux","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_05n","W m-2","Deprecated"
491,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","3",,"Downward long-wave radiation flux",,"W m-2","Operational"
492,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","4",,"Upward long-wave radiation flux",,"W m-2","Operational"
493,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","5",,"Net long wave radiation flux",,"W m-2","Operational"
494,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","6",,"Net long-wave radiation flux, clear sky",,"W m-2","Operational"
495,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","7-191",,"Reserved",,,"Operational"
496,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","192-254",,"Reserved for local use",,,"Operational"
497,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 5: long-wave radiation","255",,"Missing",,,"Operational"
498,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","0",,"Cloud ice",,"kg m-2","Operational"
499,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","1",,"Total cloud cover",,"%","Operational"
500,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","2",,"Convective cloud cover",,"%","Operational"
501,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","3",,"Low cloud cover","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_06n","%","Deprecated"
502,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","4",,"Medium cloud cover","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_06n","%","Deprecated"
503,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","5",,"High cloud cover","*#GRIB2_7_0_0_CodeFlag.doc#G2_CF42_06n","%","Deprecated"
504,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","6",,"Cloud water",,"kg m-2","Operational"
505,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","7",,"Cloud amount",,"%","Operational"
506,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","8",,"Cloud type",,"(Code table 4.203)","Operational"
507,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","9",,"Thunderstorm maximum tops",,"m","Operational"
508,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","10",,"Thunderstorm coverage",,"(Code table 4.204)","Operational"
509,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","11",,"Cloud base",,"m","Operational"
510,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","12",,"Cloud top",,"m","Operational"
