# NCEP Table Version 140
# http://www.nco.ncep.noaa.gov/pmb/docs/on388/table2.html
168:MEIP:Mean Icing Potential []
169:MAIP:Maximum Icing Potential []
170:MECTP:Mean in-Cloud Turbulence Potential []
171:MACTP:Max in-Cloud Turbulence Potential []
172:MECAT:Mean Cloud Air Turbulence Potential []
173:MACAT:Maximum Cloud Air Turbulence Potential []
174:CBHE:Cumulonimbus Horizontal Extent [%]
175:PCBB:Pressure at Cumulonimbus Base [Pa]
176:PCBT:Pressure at Cumulonimbus Top [Pa]
177:PECBB:Pressure at Embedded Cumulonimbus Base [Pa]
178:PECBT:Pressure at Embedded Cumulonimbus Top [Pa]
179:HCBB:ICAO Height at Cumulonimbus Base [m]
180:HCBT:ICAO Height at Cumulonimbus Top [m]
181:HECBB:ICAO Height at Embedded Cumulonimbus Base [m]
182:HECBT:ICAO Height at Embedded Cumulonimbus Top [m]
255::Missing []
